Mission,   17th Avenue Animal Hospital Ltd.
Willow Park,   Acadia Drive Animal Clinic
Windsor Park,   Alberta Veterinary Dentistry Inc.
Windsor Park,   Alpine 24/7 Pet Hospital
Sunalta,   Animal Clinic-Downtown
Fairview,   Antech Diagnostics Canada
Aspen,   Aspen Animal Hospital
Varsity,   Atkins Veterinary Services Ltd.
Auburn Bay,   Auburn Bay Veterinary Clinic
Lake Bonavista,   Avenida Pet Clinic
Mayland Heights,   Barlow Trail Animal Hospital
Beddington Heights,   Beddington Trail Animal Hospital
Deer Ridge,   Bow Bottom Veterinary Hospital
Montgomery,   Bowmont Animal Hospital (1998) Ltd.
Bowness,   Bowness Animal Hospital
Braeside,   Braeside Veterinary Clinic
Bridgeland/Riverside,   Bridgeland Vet Clinic
Bridlewood,   Bridlewood Veterinary Clinic
Kingsland,   Britannia-Kingsland Veterinary Clinic
Fairview,   Calgary Animal Referral & Emergency (CARE) Centre
Banff Trail,   Calgary Cat Clinic
Hounsfield Heights/Briar Hill,   Calgary Holistic Veterinary Clinic
Highland Park,   Calgary North Animal Hospital & 24 Hour Emergency Service
Parkhill,   Calgary Pet Dermatology Centre
Erin Woods,   Calgary Pet Wellness & Spay/Neuter Clinic
Rosscarrock,   Calgary West Animal Hospital
Rocky Ridge,   Calgary Wildlife Veterinary Hospital
Cambrian Heights,   Cambrian Animal Hospital
South Calgary,   Canine Companion Clinic
Canyon Meadows,   Canyon Meadows Veterinary Clinic
Castleridge,   Castleridge Veterinary Clinic
Thorncliffe,   Centre Street Veterinary Clinic
Chaparral,   Chaparral Veterinary Clinic
Coach Hill,   Coach Hill Animal Hospital
Copperfield,   Copperfield Veterinary Hospital
Discovery Ridge,   Cornerstone Square Veterinary Hospital
Country Hills,   Country Hills Animal Hospital
Cranston,   Cranston Veterinary Hospital
Legacy,   Creature Comforts Animal Clinic
Evanston,   Creek Side Veterinary Hospital
Crescent Height,   Crescent Animal Clinic
Lakeview,   Crowchild Trail Veterinary Clinic
Arbour Lake,   Crowfoot Animal Hospital
Dalhousie,   Dalhousie Varsity Animal Hospital
Dover,"   Deerfoot South Spay, Neuter And Wellness Clinic"
Harvest Hills,   District Animal Hospital & Urgent Care
Douglasdale / Douglas Glen,   Douglas Square Pet Clinic
Coventry Hills,   Dr. Romus Vetstreet
Edgemont,   Edgemont Veterinary Clinic
Dalhousie,   Dalhousie Varsity Animal Hospital
Dover,"   Deerfoot South Spay, Neuter And Wellness Clinic"
Harvest Hills,   District Animal Hospital & Urgent Care
Douglasdale / Douglas Glen,   Douglas Square Pet Clinic
Coventry Hills,   Dr. Romus Vetstreet
Edgemont,   Edgemont Veterinary Clinic
Falconridge,   Falconridge Animal Hospital
Midnapore,   Fish Creek 24 Hr Pet Hospital & Emergency Services
Forest Lawn,   Forest Lawn Animal Hospital
Glamorgan,   Glamorgan Animal Clinic Ltd.
Harvest Hills,   Harvest Hills Animal Hospital
Parkhill,   Healing Traditions Holistic Veterinary Clinic
Evanston,   Healthy Paws Forward Veterinary Hospital
Highland Park,   Highland Park Animal Clinic
Killarney/Glengarry,   Killarney Cat Hospital
Lake Bonavista,   Lake Bonavista Animal Clinic
Bayview,   Landing Animal Hospital
Legacy,   Legacy Veterinary Clinic
Millrise,   Little Creek Veterinary Clinic
MacEwan Glen,   MacEwan Animal Hospital
MacEwan Glen,   Macleod Trail Animal Hospital
Mahogany,   Mahogany Veterinary Clinic
South Calgary,   Marda Loop Animal Hospital
Marlborough Park,   Marlborough Animal Hospital
McKenzie Town,   McKenzie Towne Animal Hospital
Greenview,   McKnight 24 Hour Veterinary Hospital
Midnapore,   Midlake Veterinary Clinic
Montgomery,   Monterey Veterinary Clinic Ltd.
Montgomery,   Montgomery Village Veterinary Clinic and Dekens Housecall Services
Sage Hill,   Nolan Hill Veterinary Hospital
Pineridge,   North East Animal Clinic
Oakridge,   Oakridge Animal Clinic
Panorama Hills,   Panorama Hills Animal Hospital
Varsity,   Paramount 24 Hour Animal Hospital
Parkdale,   Parkdale Veterinary Clinic
Castleridge,   Prairie Winds Animal Clinic
Temple,   Properties Animal Clinic
Ramsay,   Ramsay Animal Clinic
Ranchlands,   Ranchlands Veterinary Clinic
Riverbend,   Riverbend Animal Hospital
Rocky Ridge,   Rocky Ridge Pet Hospital
Bowness,   Rocky View Veterinary Service
Chaparral,   Rodger Veterinary Services
Royal Oak,   Royal Oak Animal Hospital
Rocky Ridge,   Royal Veterinary Hospital
Bridlewood,   Sabadilla Animal Clinic
Sage Hill,   Sage Hill Animal Hospital
Scenic Acres,   Scenic Acres Veterinary Clinic
Shawnessy,   Shawnessy South Animal Hospital
Signal Hill,   Signal Hill Animal Clinic
Silver Springs,   Silver Springs Animal Hospital
Silverado,   Silverado Veterinary Hospital
McKenzie Town,   South Trail Animal Hospital
West Springs,   South West Veterinary Hospital
McKenzie Town,   Southpointe Pet Hospital
Southwood,   Southwood Veterinary Hospital
Springbank Hill,   Springbank Integrative Veterinary Centre
Valley Ridge,   Stoney Trail Veterinary Clinic
Sundance,   Sundance Animal Hospital
Rundle,   Sunridge Veterinary Clinic
Bowness,   Trinity Hills 24 Hour Pet Hospital
